x,y,z,t,v
0,29,0,0.00005229,49.25
0.456622734,28.99640488,0,0.00004433,55.32
0.913232454,28.98561723,0,0.00003888,69.15
1.369515509,28.96764449,0,0.00003567,82.38
1.825459007,28.94248952,0,0.0000344,89.44
2.281049841,28.91015067,0,0.0000348,88.35
2.735975061,28.87065016,0,0.00003659,83.09
3.190221924,28.82399147,0,0.00003949,77.67
3.643677805,28.77018617,0,0.00004322,73.82
4.096329519,28.70923344,0,0.00004749,71.96
4.547866134,28.64117514,0,0.00005202,72.22
4.998275153,28.56601557,0,0.00005654,74.82
5.447543367,28.48375451,0,0.00006076,80.21
5.895362169,28.39444849,0,0.00006441,88.54
6.341719277,28.29810235,0,0.00006737,97.7
6.786601488,28.19471653,0,0.00006972,106.6
7.229703208,28.08436205,0,0.0000715,114.8
7.671012397,27.96704433,0,0.00007279,121.6
8.110515888,27.84276445,0,0.00007365,126.7
8.547911782,27.71160775,0,0.00007415,130.2
8.983188309,27.57358025,0,0.00007434,132.3
9.416237547,27.42871617,0,0.0000743,133.4
9.847046421,27.27701737,0,0.00007408,133.9
10.275319,27.11858808,0,0.00007376,134.3
10.70104393,26.95343501,0,0.00007339,134.5
11.12420822,26.78156066,0,0.00007305,134.8
11.5445212,26.6030831,0,0.00007277,134.9
11.96197184,26.41800957,0,0.00007259,134.7
12.3765473,26.22634319,0,0.00007248,134.2
12.78796279,26.02821561,0,0.00007246,133.5
13.19620764,25.8236346,0,0.00007252,132.6
13.60126917,25.61260387,0,0.00007266,131.4
14.00286913,25.39526838,0,0.00007288,130.1
14.40099723,25.1716364,0,0.00007319,128.7
14.79559939,24.94173688,0,7.36E-05,127.1055887
15.18651451,24.70566286,0,7.40E-05,125.4397981
15.57366376,24.46346249,0,7.46E-05,123.7068607
15.95695118,24.21519583,0,0.000075186,121.9293739
16.33628168,23.96092446,0,0.000075879,120.167021
16.71156123,23.70071141,0,0.000076629,118.6083151
17.08269675,23.43462122,0,7.74E-05,117.324496
17.44959623,23.16271986,0,7.82E-05,116.3184274
17.81216867,22.88507477,0,7.89E-05,115.5655761
18.17032417,22.60175479,0,7.95E-05,115.01718
18.5239739,22.31283019,0,7.99E-05,114.5999533
18.87303019,22.01837259,0,8.02E-05,114.2153483
19.21740647,21.71845502,0,8.04E-05,113.7392007
19.55701734,21.41315186,0,8.02E-05,113.0240847
19.8917786,21.1025388,0,7.98E-05,111.9076941
20.22160723,20.78669289,0,7.91E-05,110.2290172
20.54642144,20.46569242,0,0.000078,107.8618617
20.86614068,20.13961701,0,7.65E-05,104.9927562
21.18068568,19.8085475,0,7.47E-05,101.9990589
21.48997843,19.47256602,0,7.25E-05,99.04073889
21.79394224,19.13175584,0,7.00E-05,96.21822151
22.09250173,18.78620151,0,6.72E-05,93.59444074
22.38558288,18.4359887,0,6.42E-05,91.20500277
22.67311299,18.08120426,0,6.08E-05,89.0672245
22.95502078,17.72193615,0,5.73E-05,87.18670971
23.23123633,17.35827349,0,5.35E-05,85.56255736
23.50169116,16.99030643,0,4.95E-05,84.18997622
23.76631819,16.61812623,0,4.54E-05,83.06280661
24.02505182,16.24182518,0,4.12E-05,82.17456986
24.27782787,15.86149659,0,3.68E-05,81.61802357
24.52458367,15.47723477,0,3.24E-05,81.78840891
24.76525802,15.08913501,0,2.79E-05,82.81757483
24.99979125,14.69729355,0,2.36E-05,84.7792493
25.2281252,14.30180754,0,1.94E-05,87.7965982
25.45020324,13.90277508,0,1.54E-05,92.05493928
25.66597032,13.50029509,0,1.17E-05,97.81584455
25.87537292,13.0944674,0,8.39E-06,105.4233794
26.07835912,12.68539262,0,5.52E-06,115.2701224
26.27487857,12.27317221,0,3.18E-06,127.6199123
26.46488256,11.85790837,0,1.43E-06,142.0202571
26.64832397,11.43970409,0,3.44E-07,155.900893
26.8251573,11.01866307,0,1.27E-20,163.1007722
26.99533871,10.59488971,0,4.42E-07,158.4180572
27.15882599,10.1684891,0,1.61E-06,146.5986324
27.31557861,9.739566987,0,3.40E-06,133.8442817
27.4655577,9.30822971,0,5.74E-06,122.9618577
27.60872606,8.874584249,0,8.53E-06,114.5963719
27.74504819,8.438738118,0,1.17E-05,108.6226695
27.87449029,8.000799415,0,0.000015093,104.7675752
27.99702026,7.560876717,0,0.000018686,102.8164819
28.11260771,7.119079133,0,2.24E-05,102.6728347
28.22122399,6.675516198,0,2.60E-05,104.3817745
28.32284216,6.230297923,0,2.96E-05,108.1609947
28.41743701,5.78353469,0,3.30E-05,114.4624967
28.50498511,5.335337304,0,3.61E-05,123.3886354
28.58546472,4.885816898,0,3.90E-05,132.6757285
28.6588559,4.435084929,0,4.16E-05,141.2522778
28.72514045,3.983253187,0,4.40E-05,148.5286478
28.78430194,3.530433695,0,4.64E-05,153.8224946
28.83632568,3.076738759,0,0.00004867,156.4449873
28.88119878,2.622280864,0,5.10E-05,155.8611992
28.91891012,2.167172724,0,5.34E-05,151.8803849
28.94945034,1.711527172,0,5.60E-05,144.7824097
28.97281186,1.255457217,0,5.88E-05,135.2748483
28.9889889,0.799075933,0,6.19E-05,124.2947891
28.99797745,0.342496509,0,6.54E-05,112.7597951
28.99977527,-0.114167855,0,6.92E-05,101.4410751
28.99438192,-0.570803899,0,7.35E-05,91.62111218
28.98179874,-1.027298408,0,7.83E-05,83.78790168
28.96202884,-1.483538165,0,8.35E-05,77.45150097
28.93507713,-1.939410054,0,8.90E-05,72.23989876
28.9009503,-2.394801011,0,9.49E-05,67.8899972
28.8596568,-2.849598131,0,0.000101053,64.2114741
28.81120687,-3.303688617,0,0.000107501,61.06501017
28.75561254,-3.756959886,0,0.000114185,58.34605006
28.69288758,-4.209299519,0,0.00012107,55.97539348
28.62304755,-4.660595358,0,0.00012812,53.89167352
28.54610976,-5.110735504,0,0.000135302,52.04731832
28.46209331,-5.559608314,0,0.000142581,50.40423685
28.37101901,-6.007102499,0,0.000149923,48.95058933
28.27290946,-6.453107074,0,0.000157281,47.72880169
28.16778897,-6.897511459,0,0.0001646,46.73149107
28.05568363,-7.340205436,0,0.000171824,45.94168404
27.93662123,-7.781079247,0,0.000178897,45.34948848
27.81063129,-8.220023549,0,0.000185761,44.95074904
27.67774506,-8.656929514,0,0.000192362,44.74677665
27.53799548,-9.091688781,0,0.000198642,44.74439242
27.39141721,-9.524193562,0,0.000204545,44.95584274
27.23804661,-9.954336587,0,0.000210016,45.39912638
27.07792169,-10.38201121,0,0.000214997,46.09893574
26.91108218,-10.80711137,0,0.000219433,47.08704863
26.73756943,-11.22953165,0,0.000223267,48.39874908
26.55742648,-11.64916731,0,0.000226456,49.99183283
26.37069799,-12.06591429,0,0.000229015,51.82379003
26.17743028,-12.47966923,0,0.000230969,53.92427798
25.97767125,-12.89032956,0,0.000232346,56.32412572
25.77147047,-13.29779343,0,0.000233173,59.05120274
25.55887904,-13.70195979,0,0.000233476,62.12769224
25.33994969,-14.10272844,0,0.000233283,65.56543836
25.11473672,-14.49999999,0,0.00023262,69.35884321
24.88329595,-14.89367593,0,0.000231514,73.47479979
24.6456848,-15.28365862,0,0.000229992,77.84108275
24.40196216,-15.66985139,0,0.000228082,82.3342634
24.1521885,-16.05215844,0,0.00022581,86.77454883
23.89642573,-16.43048499,0,0.000223206,91.21331351
23.6347373,-16.80473722,0,0.000220375,97.00399855
23.36718807,-17.17482232,0,0.000217493,105.599567
23.09384441,-17.54064852,0,0.000214744,119.0266911
22.81477408,-17.90212511,0,0.000212307,141.3032521
22.53004631,-18.25916245,0,0.000210364,182.0671086
22.23973168,-18.61167201,0,0.000209097,269.677138
21.94390219,-18.95956636,0,0.000208686,462.4207034
21.6426312,-19.30275925,0,0.000209314,359.6501962
21.33599342,-19.64116557,0,0.00021116,186.8202608
21.02406487,-19.97470141,0,0.000214407,116.1336331
20.70692292,-20.30328405,0,0.000219235,81.13659816
20.38464621,-20.62683202,0,0.000225827,60.84864251
20.05731465,-20.94526508,0,0.000234304,48.64753235
19.7250094,-21.25850428,0,0.000244557,41.12379338
19.38781288,-21.56647193,0,0.000256417,36.09995924
19.04580871,-21.86909167,0,0.000269717,32.56333351
18.69908167,-22.16628847,0,0.000284288,29.99072106
18.34771777,-22.45798861,0,0.000299962,28.08607936
17.99180412,-22.74411978,0,0.00031657,26.67095014
17.63142898,-23.02461101,0,0.000333944,25.63319678
17.26668172,-23.29939275,0,0.000351916,24.9008192
16.89765278,-23.56839686,0,0.000370318,24.42784605
16.52443368,-23.83155664,0,0.000388981,24.18692521
16.14711695,-24.08880682,0,0.000407736,24.16464881
15.76579617,-24.34008363,0,0.000426419,24.3428317
15.3805659,-24.58532474,0,0.000444897,24.66135846
14.99152165,-24.82446935,0,0.000463078,25.11333208
14.59875991,-25.05745815,0,0.000480871,25.71336886
14.20237806,-25.28423338,0,0.000498183,26.48211411
13.80247441,-25.50473878,0,0.000514923,27.44806362
13.3991481,-25.71891969,0,0.000530998,28.65045087
12.99249917,-25.92672299,0,0.000546318,30.1439615
12.58262844,-26.12809717,0,0.00056079,32.00567528
12.16963756,-26.32299226,0,0.000574322,34.34660045
11.75362893,-26.51135996,0,0.000586824,37.33354779
11.33470572,-26.69315355,0,0.000598203,41.22372242
10.9129718,-26.86832794,0,0.000608367,46.41651995
10.48853175,-27.03683971,0,0.000617262,52.96585629
10.06149083,-27.19864707,0,0.000624986,60.61794954
9.631954925,-27.35370988,0,0.000631673,69.44476252
9.200030558,-27.5019897,0,0.000637459,79.46594245
8.76582482,-27.64344977,0,0.000642479,90.55865343
8.3294454,-27.778055,0,0.000646866,102.3627629
7.891000491,-27.90577201,0,0.000650758,114.1786633
7.450598833,-28.02656913,0,0.000654287,124.8638718
7.008349616,-28.14041641,0,0.00065759,132.8691701
6.564362525,-28.24728562,0,0.0006608,136.5253445
6.118747637,-28.34715025,0,0.000664054,134.7015607
5.671615473,-28.43998555,0,0.000667487,127.5137687
5.223076889,-28.52576849,0,0.000671228,117.3085345
4.773243132,-28.6044778,0,0.000675322,108.6543139
4.322225728,-28.67609396,0,0.000679726,101.9943741
3.870136537,-28.74059921,0,0.00068439,96.88997766
3.417087646,-28.79797757,0,0.000689269,93.03410589
2.963191418,-28.84821479,0,0.000694313,90.21967358
2.508560387,-28.89129843,0,0.000699475,88.30180797
2.05330731,-28.92721779,0,0.000704708,87.1950964
1.597545058,-28.95596398,0,0.000709963,86.85542426
1.141386668,-28.97752985,0,0.000715193,87.27805822
0.684945244,-28.99191008,0,0.000720351,88.49712896
0.228333962,-28.99910108,0,0.000725388,90.59423925
-0.228333931,-28.99910108,0,0.000730257,93.66913121
-0.684945214,-28.99191008,0,0.000734927,96.93111418
-1.141386638,-28.97752986,0,0.000739437,99.37319801
-1.597545038,-28.95596398,0,0.000743844,100.8207221
-2.05330728,-28.92721779,0,0.000748202,101.185993
-2.508560367,-28.89129843,0,0.000752568,100.4303446
-2.963191388,-28.84821479,0,0.000756997,98.58540511
-3.417087626,-28.79797757,0,0.000761546,95.73928011
-3.870136507,-28.74059922,0,0.000766271,92.04153077
-4.322225708,-28.67609396,0,0.000771227,87.67935589
-4.773243103,-28.6044778,0,0.00077647,82.85278897
-5.22307687,-28.52576849,0,0.000782056,77.76541757
-5.671615443,-28.43998555,0,0.000788042,72.59366936
-6.118747617,-28.34715026,0,0.000794477,67.87311175
-6.564362495,-28.24728562,0,0.000801303,64.96291484
-7.008349596,-28.14041641,0,0.000808348,63.82127482
-7.450598804,-28.02656913,0,0.000815436,64.27199011
-7.891000471,-27.90577201,0,0.000822392,66.38875266
-8.329445371,-27.778055,0,0.000829039,70.5212068
-8.765824791,-27.64344978,0,0.000835201,77.45902005
-9.200030482,-27.50198973,0,0.000840703,88.8733311
-9.631954916,-27.35370989,0,0.000845368,108.629974
-10.06149079,-27.19864708,0,0.000849021,147.7051047
-10.48853177,-27.03683971,0,0.000851486,253.4072529
-10.91297178,-26.86832795,0,0.000852586,1326.007165
-11.33470567,-26.69315357,0,0.000852147,347.3380417
-11.75362895,-26.51135995,0,0.000850047,154.0322457
-12.16963754,-26.32299227,0,0.000846389,102.2439362
-12.5826284,-26.12809719,0,0.000841332,78.56552081
-12.99249918,-25.92672299,0,0.000835033,65.20275095
-13.39914808,-25.7189197,0,0.000827651,56.79209579
-13.80247436,-25.50473881,0,0.000819343,51.16514241
-14.20237807,-25.28423337,0,0.000810268,47.28318751
-14.59875989,-25.05745817,0,0.000800584,44.59270088
-14.9915216,-24.82446938,0,0.000790448,42.7771859
-15.3805659,-24.58532474,0,0.00078002,41.65016985
-15.76579615,-24.34008365,0,0.000769458,41.10207648
-16.1471169,-24.08880686,0,0.000758918,41.07442783
-16.52443368,-23.83155664,0,0.000748558,41.47187885
-16.89765275,-23.56839688,0,0.000738472,42.00189116
-17.26668166,-23.29939279,0,0.000728696,42.59379766
-17.63142898,-23.02461101,0,0.000719263,43.25485424
-17.99180409,-22.74411981,0,0.000710207,43.99501988
-18.34771771,-22.45798866,0,0.000701559,44.8309313
-18.69908167,-22.16628848,0,0.000693355,45.78464949
-19.04580867,-21.86909171,0,0.000685625,46.88600363
-19.3878129,-21.56647192,0,0.000678404,48.17381689
-19.72500939,-21.25850429,0,0.000671725,49.70016813
-20.05731461,-20.94526511,0,0.00066562,51.53135385
-20.38464622,-20.626832,0,0.000660123,53.75576018
-20.70692291,-20.30328406,0,0.000655267,56.48199036
-21.02406484,-19.97470144,0,0.000651068,59.65249916
-21.33599342,-19.64116556,0,0.000647481,63.19161525
-21.64263119,-19.30275927,0,0.000644442,67.20816177
-21.94390215,-18.95956641,0,0.000641889,71.84413798
-22.23973168,-18.611672,0,0.00063976,77.27802669
-22.53004629,-18.25916247,0,0.000637992,83.73907611
-22.81477405,-17.90212516,0,0.000636522,91.53004431
-23.09384441,-17.54064852,0,0.000635289,101.0588716
-23.36718805,-17.17482235,0,0.000634228,112.8783822
-23.63473726,-16.80473727,0,0.000633279,127.7342553
-23.89642573,-16.43048499,0,0.000632378,146.568593
-24.15218848,-16.05215848,0,0.000631463,170.3337123
-24.40196213,-15.66985145,0,0.000630472,199.4196386
-24.64568479,-15.28365863,0,0.000629368,233.6676874
-24.88329593,-14.89367596,0,0.000628141,269.6390412
-25.11473668,-14.50000006,0,0.000626779,297.3551186
-25.33994969,-14.10272845,0,0.000625271,303.7260384
-25.55887902,-13.70195984,0,0.000623607,286.141177
-25.77147048,-13.29779341,0,0.000621777,255.5724497
-25.97767125,-12.89032957,0,0.000619769,223.4887325
-26.17743025,-12.47966928,0,0.000617573,195.1703626
-26.370698,-12.06591427,0,0.000615178,171.7094617
-26.55742647,-11.64916732,0,0.000612574,152.6105035
-26.73756941,-11.2295317,0,0.000609749,137.0298102
-26.91108218,-10.80711136,0,0.000606693,124.2257495
-27.07792169,-10.38201123,0,0.0006034,113.8284726
-27.23804659,-9.954336644,0,0.000599877,105.4524236
-27.39141722,-9.524193552,0,0.000596137,98.56920492
-27.53799547,-9.09168881,0,0.000592192,92.80933686
-27.67774504,-8.656929571,0,0.000588054,87.9119915
-27.81063129,-8.220023549,0,0.000583735,83.68502945
-27.93662122,-7.781079276,0,0.000579246,79.98741163
-28.05568362,-7.340205504,0,0.000574602,76.70982782
-28.16778897,-6.897511459,0,0.000569812,73.76564665
-28.27290945,-6.453107113,0,0.000564891,71.08768486
-28.37101899,-6.007102568,0,0.000559849,68.62029222
-28.4620933,-5.559608324,0,0.000554699,66.3165516
-28.54610976,-5.110735544,0,0.000549453,64.1852438
-28.62304753,-4.660595438,0,0.000544146,62.36759125
-28.69288758,-4.209299529,0,0.000538833,60.8659351
-28.75561253,-3.756959926,0,0.000533567,59.64748035
-28.81120688,-3.303688597,0,0.000528405,58.68844908
-28.8596568,-2.849598141,0,0.000523402,57.96919338
-28.90095029,-2.394801061,0,0.000518614,57.47703548
-28.93507713,-1.939410034,0,0.000514095,57.2037284
-28.96202884,-1.483538185,0,0.000509901,57.14430484
-28.98179873,-1.027298458,0,0.000506087,57.29580865
-28.99438192,-0.570803889,0,0.000502708,57.65715641
-28.99977527,-0.114167876,0,0.000499821,58.22507925
-28.99797745,0.342496448,0,0.00049748,58.98718638
-28.9889889,0.799075943,0,0.000495722,59.83452461
-28.97281186,1.255457187,0,0.000494508,60.71031087
-28.94945034,1.711527112,0,0.000493781,61.6630255
-28.91891012,2.167172724,0,0.000493485,62.73966533
-28.88119878,2.622280834,0,0.000493561,63.98273089
-28.83632569,3.076738689,0,0.000493954,65.43194148
-28.78430194,3.530433695,0,0.000494606,67.12576724
-28.72514046,3.983253147,0,0.000495459,69.10254069
-28.65885591,4.435084859,0,0.000496457,71.40111903
-28.58546472,4.885816888,0,0.000497542,74.06032516
-28.50498511,5.335337265,0,0.000498658,77.11656575
